pH;Salt Concentration;Cosubstrate Concentration;Organic Solvent Concentration;Temperature;target
3.2;139.0;9.4;1.3;32.0;447.9117059692419
4.4;327.0;5.9;5.5;37.0;203.34843635833454
6.8;120.0;0.5;25.4;55.0;6.893475006972872
3.0;407.0;3.5;22.4;57.0;41.94267172679075
7.6;194.0;7.4;27.0;23.0;20.769533753563287
6.2;458.0;8.4;9.5;44.0;40.293568754881356
5.0;270.0;1.7;13.5;29.0;49.06322260158917
5.9;30.0;4.7;18.2;48.0;84.55527720869428
